WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Bowen,AU,-20.02,148.23,71.6,60,48,14.99,scattered clouds
160,Guiratinga,BR,-16.35,-53.76,71.13,43,0,6.87,clear sky
161,Abinsk,RU,44.87,38.16,82.4,28,0,13.42,clear sky
162,Alice Springs,AU,-23.7,133.88,87.8,10,0,4.7,clear sky
163,Preobrazheniye,RU,42.9,133.91,71.15,93,100,6.04,overcast clouds
164,Katobu,ID,-4.94,122.53,86.88,50,23,9.66,few clouds
165,Jamestown,US,42.1,-79.24,71.01,94,20,11.41,few clouds
166,Kuloy,RU,61.03,42.49,63.79,70,7,9.78,clear sky
167,Kapaa,US,22.08,-159.32,78.8,78,40,10.29,scattered clouds
168,Kloulklubed,PW,7.04,134.26,86.0,70,90,9.17,overcast clouds
169,Pevek,RU,69.7,170.31,37.89,97,100,4.12,overcast clouds
170,Chegutu,ZW,-18.13,30.14,73.36,31,0,5.79,clear sky
171,Bethel,US,41.37,-73.41,72.0,78,1,5.82,clear sky
172,Lebu,CL,-37.62,-73.65,51.12,91,89,20.0,light rain
173,Tura,IN,25.52,90.22,84.94,82,100,4.21,moderate rain
174,Arrifes,PT,37.77,-25.7,73.4,94,75,9.17,broken clouds
175,Mount Isa,AU,-20.73,139.5,86.0,12,0,12.75,clear sky
176,Dikson,RU,73.51,80.55,48.92,88,8,4.14,clear sky
177,Narsaq,GL,60.92,-46.05,41.0,80,23,3.36,few clouds
178,Fukue,JP,32.69,128.84,87.8,74,40,11.41,scattered clouds
179,Envira,BR,-7.3,-70.22,69.46,76,23,2.66,few clouds
180,Hami,CN,42.8,93.45,97.3,11,29,4.9,scattered clouds
181,Bardiyah,LY,31.76,25.09,80.35,57,0,5.17,clear sky
182,Vestmannaeyjar,IS,63.44,-20.27,50.0,87,90,3.36,overcast clouds
183,Neuenkirchen,DE,52.24,7.37,57.99,93,20,3.36,mist
184,Port Elizabeth,ZA,-33.92,25.57,62.6,93,75,9.17,broken clouds
185,Usinsk,RU,65.99,57.53,60.76,86,100,7.09,overcast clouds
186,Kimbe,PG,-5.55,150.14,82.27,78,27,1.48,scattered clouds
187,Novobirilyussy,RU,56.95,90.67,70.02,51,29,4.07,scattered clouds
188,Evensk,RU,61.95,159.23,51.89,50,10,7.02,clear sky
189,Gat,IL,31.61,34.76,84.99,55,0,3.0,clear sky
190,Oriximina,BR,-1.77,-55.87,73.76,89,25,3.56,scattered clouds
191,Kondoa,TZ,-4.9,35.78,66.24,62,84,7.52,broken clouds
192,Agadez,NE,19.75,10.25,90.16,19,0,11.92,clear sky
193,Ancud,CL,-41.87,-73.82,41.0,86,90,5.82,overcast clouds
194,Ambon,ID,-3.7,128.18,80.6,83,75,4.7,broken clouds
195,Alta Floresta,BR,-9.88,-56.09,75.24,49,13,3.33,few clouds
196,Alabaster,US,33.24,-86.82,78.01,88,90,3.36,overcast clouds
197,Ilulissat,GL,69.22,-51.1,41.0,86,88,2.68,overcast clouds
198,Synya,RU,65.37,58.04,61.66,83,94,7.23,overcast clouds
199,Polewali,ID,-3.43,119.34,87.58,58,16,10.2,light rain
200,Hof,DE,50.32,11.92,59.0,77,0,4.7,clear sky
201,Hasaki,JP,35.73,140.83,90.0,66,20,5.82,few clouds
202,Bengkulu,ID,-3.8,102.27,88.36,52,100,10.22,overcast clouds
203,Pando,UY,-34.72,-55.95,62.01,72,100,10.29,overcast clouds
204,Lagoa,PT,39.05,-27.98,73.74,90,7,19.28,light rain
205,Noumea,NC,-22.28,166.46,68.0,64,11,6.93,few clouds
206,Kawalu,ID,-7.38,108.21,86.27,47,0,7.96,clear sky
207,Viedma,AR,-40.81,-63.0,48.0,92,0,4.0,clear sky
208,Iqaluit,CA,63.75,-68.51,42.8,81,75,9.17,broken clouds
209,Zambezi,ZM,-13.54,23.1,70.75,26,56,7.16,broken clouds
210,Huarmey,PE,-10.07,-78.15,59.18,85,46,7.78,scattered clouds
211,Yeppoon,AU,-23.13,150.73,75.2,29,0,10.29,clear sky
212,Chuy,UY,-33.7,-53.46,56.84,88,100,10.85,overcast clouds
213,Ahipara,NZ,-35.17,173.17,56.07,76,0,13.76,clear sky
214,Norman Wells,CA,65.28,-126.83,55.4,76,40,2.24,scattered clouds
215,Heide,DE,54.2,9.1,60.01,94,0,3.56,clear sky
216,Namikupa,TZ,-10.83,39.6,84.11,40,0,4.68,clear sky
217,Pacific Grove,US,36.62,-121.92,59.0,92,0,1.9,clear sky
218,Yulara,AU,-25.24,130.99,89.6,11,0,9.17,clear sky
219,Abha,SA,18.22,42.51,84.2,21,15,16.11,few clouds
220,Itarema,BR,-2.92,-39.92,77.23,78,99,12.8,overcast clouds
221,Riyadh,SA,24.69,46.72,96.8,14,0,8.05,clear sky
222,Biak,ID,-0.91,122.88,81.34,69,23,9.95,light rain
223,Susangerd,IR,31.56,48.18,98.6,22,0,6.93,clear sky
224,Berlevag,NO,70.86,29.09,55.4,66,40,13.87,scattered clouds
225,Bonthe,SL,7.53,-12.51,76.41,84,100,9.28,overcast clouds
226,Marsa Matruh,EG,31.35,27.25,80.6,65,0,2.06,clear sky
227,Touros,BR,-5.2,-35.46,68.0,94,40,4.7,scattered clouds
228,Totness,SR,5.88,-56.32,77.49,88,0,7.76,clear sky
229,Rabo De Peixe,PT,37.8,-25.58,73.4,94,75,9.17,broken clouds
230,Cayenne,GF,4.93,-52.33,75.2,100,40,5.26,scattered clouds
231,Neya,RU,58.3,43.87,67.12,68,0,8.08,clear sky
232,Newton,US,42.34,-71.21,73.99,88,90,4.27,fog
233,Ixtapa,MX,20.7,-105.2,79.0,97,49,1.01,heavy intensity rain
234,Linay,PH,8.52,123.13,87.33,66,59,7.85,broken clouds
235,Senno,RU,59.53,33.92,64.0,81,13,5.99,few clouds
236,Aksu,CN,41.12,80.26,97.02,12,0,3.69,clear sky
237,Morondava,MG,-20.28,44.28,78.12,58,76,0.58,broken clouds
238,Chistogorskiy,RU,53.98,87.38,64.85,64,100,3.33,overcast clouds
239,Yerbogachen,RU,61.28,108.01,66.11,38,0,9.73,clear sky
240,New Norfolk,AU,-42.78,147.06,52.0,77,40,3.0,scattered clouds
241,Jacareacanga,BR,-6.22,-57.75,72.0,59,0,1.16,clear sky
242,Galle,LK,6.04,80.22,84.72,71,100,9.15,overcast clouds
243,Guarapari,BR,-20.67,-40.5,64.4,72,4,10.29,clear sky
244,Kochki,RU,54.34,80.48,66.43,52,100,9.62,overcast clouds
245,Taltal,CL,-25.4,-70.48,51.98,71,14,5.91,few clouds
246,Vancouver,CA,49.25,-123.12,59.0,93,5,5.82,clear sky
247,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,60.8,59,14,13.42,few clouds
248,Catuday,PH,16.29,119.81,84.04,78,88,13.04,overcast clouds
249,Nanakuli,US,21.39,-158.15,80.01,65,1,4.7,clear sky
250,Canita,PA,9.21,-78.88,75.2,94,40,1.19,scattered clouds
251,Thompson,CA,55.74,-97.86,48.2,81,90,2.24,overcast clouds
252,Kodinsk,RU,58.69,99.18,67.64,70,100,1.86,light rain
253,Iraquara,BR,-12.25,-41.62,64.71,86,100,5.64,overcast clouds
254,Sisimiut,GL,66.94,-53.67,44.69,81,95,0.98,overcast clouds
255,Tongliao,CN,43.61,122.27,90.03,39,100,12.8,overcast clouds
256,Neryungri,RU,56.67,124.65,53.83,79,100,2.93,light rain
257,Kavieng,PG,-2.57,150.8,83.7,70,8,8.79,clear sky
258,Manicore,BR,-5.81,-61.3,72.39,54,0,2.53,clear sky
259,Marawi,PH,8.0,124.29,84.99,74,69,5.99,moderate rain
260,Hindang,PH,10.43,124.73,87.24,65,13,3.62,few clouds
261,Leningradskiy,RU,69.38,178.42,42.24,91,100,8.16,overcast clouds
262,Tiarei,PF,-17.53,-149.33,78.8,74,75,3.36,broken clouds
263,Wagar,SD,16.15,36.2,88.32,53,57,16.44,broken clouds
264,Chizhou,CN,30.66,117.48,86.36,75,91,8.86,moderate rain
265,Maldonado,UY,-34.67,-54.92,59.0,87,100,12.75,overcast clouds
266,High Level,CA,58.52,-117.14,53.6,100,90,8.05,light rain
267,Smithers,CA,54.78,-127.17,53.6,93,90,3.36,overcast clouds
268,Lasa,IT,46.62,10.7,46.4,93,5,5.82,clear sky
269,Aksarayskiy,RU,46.79,48.01,80.6,24,0,4.47,clear sky
270,Astoria,US,46.19,-123.83,59.0,82,90,10.29,overcast clouds
271,Daru,PG,-9.08,143.21,76.75,82,100,16.82,overcast clouds
